date,ticker,activity,sentiment
2022-08-26,TSLA,0.045,5
2022-08-26,TQQQ,0.0284,-1
2022-08-26,SQQQ,0.0312,7
2022-08-26,SPY,0.0416,4
2022-08-26,QQQ,0.0321,5
2022-08-26,NVDA,0.0493,1
2022-08-26,BABA,0.0164,4
2022-08-26,AMZN,0.0211,4
2022-08-26,AMD,0.0361,1
2022-08-26,AAPL,0.0365,0
2022-08-25,TSLA,0.0526,5
2022-08-25,TQQQ,0.0206,1
2022-08-25,SQQQ,0.0218,6
2022-08-25,SPY,0.0283,4
2022-08-25,SNOW,0.0241,2
2022-08-25,QQQ,0.0239,6
2022-08-25,NVDA,0.0626,2
2022-08-25,AMZN,0.0197,4
2022-08-25,AMD,0.0478,1
2022-08-25,AAPL,0.0316,-2
2022-08-24,TSLA,0.0535,4
2022-08-24,TQQQ,0.021,3
2022-08-24,SQQQ,0.0225,5
2022-08-24,SPY,0.0306,5
2022-08-24,QQQ,0.0257,5
2022-08-24,OXY,0.0199,-4
2022-08-24,NVDA,0.043,1
2022-08-24,AMZN,0.0213,4
2022-08-24,AMD,0.044,0
2022-08-24,AAPL,0.0362,-4
2022-08-23,TSLA,0.0484,4
2022-08-23,TQQQ,0.0219,5
2022-08-23,SQQQ,0.0259,2
2022-08-23,SPY,0.0292,4
2022-08-23,QQQ,0.0257,5
2022-08-23,OXY,0.0314,-4
2022-08-23,NVDA,0.0316,-1
2022-08-23,AMZN,0.0192,2
2022-08-23,AMD,0.0475,0
2022-08-23,AAPL,0.0341,-3
2022-08-22,TSLA,0.0398,4
2022-08-22,TQQQ,0.0213,8
2022-08-22,SQQQ,0.0257,0
2022-08-22,SPY,0.0366,4
2022-08-22,QQQ,0.0272,10
2022-08-22,OXY,0.0216,-5
2022-08-22,NVDA,0.0309,-2
2022-08-22,AMZN,0.0214,4
2022-08-22,AMD,0.0447,-1
2022-08-22,AAPL,0.0395,-1
2022-08-19,TSLA,0.0416,3
2022-08-19,TQQQ,0.0221,7
2022-08-19,SQQQ,0.0238,1
2022-08-19,SPY,0.0336,3
2022-08-19,QQQ,0.0262,8
2022-08-19,OXY,0.027,-3
2022-08-19,NVDA,0.0343,0
2022-08-19,AMZN,0.0215,1
2022-08-19,AMD,0.0518,-2
2022-08-19,AAPL,0.0427,2
2022-08-18,TSLA,0.0434,3
2022-08-18,TQQQ,0.0221,9
2022-08-18,SQQQ,0.0231,2
2022-08-18,SPY,0.0291,2
2022-08-18,QQQ,0.0242,6
2022-08-18,NVDA,0.0475,1
2022-08-18,BBBY,0.0208,-1
2022-08-18,AMZN,0.0212,-1
2022-08-18,AMD,0.0548,-1
2022-08-18,AAPL,0.0459,1
2022-08-17,TSLA,0.0518,3
2022-08-17,TQQQ,0.0241,8
2022-08-17,SQQQ,0.0233,3
2022-08-17,SPY,0.0309,3
2022-08-17,QQQ,0.0266,7
2022-08-17,NVDA,0.0353,-1
2022-08-17,BBBY,0.0437,-1
2022-08-17,AMZN,0.0229,-3
2022-08-17,AMD,0.0448,1
2022-08-17,AAPL,0.0463,1
2022-08-16,TSLA,0.061,3
2022-08-16,TQQQ,0.02,6
2022-08-16,SQQQ,0.019,5
2022-08-16,SPY,0.0281,3
2022-08-16,QQQ,0.0225,6
2022-08-16,NVDA,0.0375,-2
2022-08-16,BBBY,0.0618,-2
2022-08-16,AMZN,0.0313,-2
2022-08-16,AMD,0.0398,2
2022-08-16,AAPL,0.029,-1
2022-08-15,TSLA,0.0702,3
2022-08-15,TQQQ,0.0202,5
2022-08-15,SQQQ,0.0181,6
2022-08-15,SPY,0.0304,5
2022-08-15,QQQ,0.0249,5
2022-08-15,NVDA,0.0456,1
2022-08-15,BBBY,0.0193,-2
2022-08-15,AMZN,0.022,-5
2022-08-15,AMD,0.0409,2
2022-08-15,AAPL,0.032,2
2022-08-12,TSLA,0.0564,2
2022-08-12,TQQQ,0.018,2
2022-08-12,SQQQ,0.0201,7
2022-08-12,SPY,0.0281,7
2022-08-12,QQQ,0.023,3
2022-08-12,NVDA,0.0418,1
2022-08-12,META,0.0146,1
2022-08-12,AMZN,0.0233,-5
2022-08-12,AMD,0.0448,2
2022-08-12,AAPL,0.0391,2
2022-08-11,TSLA,0.0454,3
2022-08-11,TQQQ,0.0238,0
2022-08-11,SQQQ,0.0238,7
2022-08-11,SPY,0.0297,8
2022-08-11,QQQ,0.0265,3
2022-08-11,NVDA,0.0401,0
2022-08-11,DIS,0.0221,3
2022-08-11,AMZN,0.0205,-3
2022-08-11,AMD,0.0385,-1
2022-08-11,AAPL,0.0271,0
2022-08-10,TTD,0.0184,1
2022-08-10,TSLA,0.06,3
2022-08-10,TQQQ,0.0212,1
2022-08-10,SQQQ,0.0197,7
2022-08-10,SPY,0.0309,6
2022-08-10,QQQ,0.0251,3
2022-08-10,NVDA,0.0497,-1
2022-08-10,AMZN,0.0212,-3
2022-08-10,AMD,0.0442,-2
2022-08-10,AAPL,0.031,-2
2022-08-09,TSLA,0.0597,3
